REGNE;PHYLUM;CLASSE;ORDRE;FAMILLE;SOUS_FAMILLE;TRIBU;CD_NOM;CD_TAXSUP;CD_SUP;CD_REF;RANG;LB_NOM;LB_AUTEUR;NOM_COMPLET;NOM_COMPLET_HTML;NOM_VALIDE;NOM_VERN;NOM_VERN_ENG;HABITAT;FR;GF;MAR;GUA;SM;SB;SPM;MAY;EPA;REU;SA;TA;NC;WF;PF;CLI;GROUP1_INPN;GROUP2_INPN;URL
Animalia;Arthropoda;Insecta;Hymenoptera;Colletidae;Hylaeinae;;239797;208078;884004;239797;ES;Hylaeus sinuatus;(Schenck, 1853);Hylaeus sinuatus (Schenck, 1853);<i>Hylaeus sinuatus</i> (Schenck, 1853);Hylaeus sinuatus (Schenck, 1853);;;3;P;;;;;;;;;;;;;;;;Arthropodes;Insectes;https://inpn.mnhn.fr/espece/cd_nom/239797
Animalia;Arthropoda;Insecta;Hymenoptera;Colletidae;Hylaeinae;;997641;0;0;239797;ES;Prosopis sinuata;Schenck, 1853;Prosopis sinuata Schenck, 1853;<i>Prosopis sinuata</i> Schenck, 1853;Hylaeus sinuatus (Schenck, 1853);;;3;P;;;;;;;;;;;;;;;;Arthropodes;Insectes;https://inpn.mnhn.fr/espece/cd_nom/239797
Animalia;Arthropoda;Insecta;Hymenoptera;Colletidae;Hylaeinae;;239798;208078;884004;239798;ES;Hylaeus soror;(Pérez, 1903);Hylaeus soror (Pérez, 1903);<i>Hylaeus soror</i> (Pérez, 1903);Hylaeus soror (Pérez, 1903);;;3;P;;;;;;;;;;;;;;;;Arthropodes;Insectes;https://inpn.mnhn.fr/espece/cd_nom/239798
Animalia;Arthropoda;Insecta;Hymenoptera;Colletidae;Hylaeinae;;407184;0;0;239798;ES;Prosopis dubitata;Alfken, 1904;Prosopis dubitata Alfken, 1904;<i>Prosopis dubitata</i> Alfken, 1904;Hylaeus soror (Pérez, 1903);;;3;P;;;;;;;;;;;;;;;;Arthropodes;Insectes;https://inpn.mnhn.fr/espece/cd_nom/239798
Animalia;Arthropoda;Insecta;Hymenoptera;Colletidae;Hylaeinae;;407185;0;0;239798;ES;Prosopis soror;Pérez, 1903;Prosopis soror Pérez, 1903;<i>Prosopis soror</i> Pérez, 1903;Hylaeus soror (Pérez, 1903);;;3;P;;;;;;;;;;;;;;;;Arthropodes;Insectes;https://inpn.mnhn.fr/espece/cd_nom/239798
Animalia;Arthropoda;Insecta;Hymenoptera;Colletidae;Hylaeinae;;239801;208078;884004;239801;ES;Hylaeus styriacus;Förster, 1871;Hylaeus styriacus Förster, 1871;<i>Hylaeus styriacus</i> Förster, 1871;Hylaeus styriacus Förster, 1871;;;3;P;;;;;;;;;;;;;;;;Arthropodes;Insectes;https://inpn.mnhn.fr/espece/cd_nom/239801
Animalia;Arthropoda;Insecta;Hymenoptera;Colletidae;Hylaeinae;;939279;239801;239801;939279;SSES;Hylaeus styriacus styriacus;Förster, 1871;Hylaeus styriacus styriacus Förster, 1871;<i>Hylaeus styriacus styriacus</i> Förster, 1871;Hylaeus styriacus styriacus Förster, 1871;;;3;P;;;;;;;;;;;;;;;;Arthropodes;Insectes;https://inpn.mnhn.fr/espece/cd_nom/939279
Animalia;Arthropoda;Insecta;Hymenoptera;Colletidae;Hylaeinae;;239802;208078;884005;239802;ES;Hylaeus sulphuripes;(Gribodo, 1894);Hylaeus sulphuripes (Gribodo, 1894);<i>Hylaeus sulphuripes</i> (Gribodo, 1894);Hylaeus sulphuripes (Gribodo, 1894);;;3;P;;;;;;;;;;;;;;;;Arthropodes;Insectes;https://inpn.mnhn.fr/espece/cd_nom/239802
Animalia;Arthropoda;Insecta;Hymenoptera;Colletidae;Hylaeinae;;1000114;0;0;239802;ES;Prosopis sulphuripes;Gribodo, 1894;Prosopis sulphuripes Gribodo, 1894;<i>Prosopis sulphuripes</i> Gribodo, 1894;Hylaeus sulphuripes (Gribodo, 1894);;;3;P;;;;;;;;;;;;;;;;Arthropodes;Insectes;https://inpn.mnhn.fr/espece/cd_nom/239802
Animalia;Arthropoda;Insecta;Hymenoptera;Colletidae;Hylaeinae;;816781;0;0;239803;ES;Hylaeus diplonymus;(Schulz, 1906);Hylaeus diplonymus (Schulz, 1906);<i>Hylaeus diplonymus</i> (Schulz, 1906);Hylaeus taeniolatus Förster, 1871;;;3;P;;;;;;;;;;;;;;;;Arthropodes;Insectes;https://inpn.mnhn.fr/espece/cd_nom/239803
Animalia;Arthropoda;Insecta;Hymenoptera;Colletidae;Hylaeinae;;239803;208078;884004;239803;ES;Hylaeus taeniolatus;Förster, 1871;Hylaeus taeniolatus Förster, 1871;<i>Hylaeus taeniolatus</i> Förster, 1871;Hylaeus taeniolatus Förster, 1871;;;3;P;;;;;;;;;;;;;;;;Arthropodes;Insectes;https://inpn.mnhn.fr/espece/cd_nom/239803
Animalia;Arthropoda;Insecta;Hymenoptera;Colletidae;Hylaeinae;;1000045;0;0;239803;ES;Prosopis grata;Pérez, 1903;Prosopis grata Pérez, 1903;<i>Prosopis grata</i> Pérez, 1903;Hylaeus taeniolatus Förster, 1871;;;3;P;;;;;;;;;;;;;;;;Arthropodes;Insectes;https://inpn.mnhn.fr/espece/cd_nom/239803
Animalia;Arthropoda;Insecta;Hymenoptera;Colletidae;Hylaeinae;;239804;208078;884006;239804;ES;Hylaeus trinotatus;(Pérez, 1895);Hylaeus trinotatus (Pérez, 1895);<i>Hylaeus trinotatus</i> (Pérez, 1895);Hylaeus trinotatus (Pérez, 1895);;;3;P;;;;;;;;;;;;;;;;Arthropodes;Insectes;https://inpn.mnhn.fr/espece/cd_nom/239804
Animalia;Arthropoda;Insecta;Hymenoptera;Colletidae;Hylaeinae;;1000626;0;0;239804;ES;Prosopis trinotata;Pérez, 1895;Prosopis trinotata Pérez, 1895;<i>Prosopis trinotata</i> Pérez, 1895;Hylaeus trinotatus (Pérez, 1895);;;3;P;;;;;;;;;;;;;;;;Arthropodes;Insectes;https://inpn.mnhn.fr/espece/cd_nom/239804
Animalia;Arthropoda;Insecta;Hymenoptera;Colletidae;Hylaeinae;;939272;239804;239804;939272;SSES;Hylaeus trinotatus trinotatus;(Pérez, 1895);Hylaeus trinotatus trinotatus (Pérez, 1895);<i>Hylaeus trinotatus trinotatus</i> (Pérez, 1895);Hylaeus trinotatus trinotatus (Pérez, 1895);;;3;P;;;;;;;;;;;;;;;;Arthropodes;Insectes;https://inpn.mnhn.fr/espece/cd_nom/939272
Animalia;Arthropoda;Insecta;Hymenoptera;Colletidae;Hylaeinae;;1000627;0;0;939272;ES;Prosopis facialis;Pérez, 1895 non Schenck, 1865;Prosopis facialis Pérez, 1895 non Schenck, 1865;<i>Prosopis facialis</i> Pérez, 1895 non Schenck, 1865;Hylaeus trinotatus trinotatus (Pérez, 1895);;;3;P;;;;;;;;;;;;;;;;Arthropodes;Insectes;https://inpn.mnhn.fr/espece/cd_nom/939272
Animalia;Arthropoda;Insecta;Hymenoptera;Colletidae;Hylaeinae;;239805;208078;884000;239805;ES;Hylaeus tyrolensis;Förster, 1871;Hylaeus tyrolensis Förster, 1871;<i>Hylaeus tyrolensis</i> Förster, 1871;Hylaeus tyrolensis Förster, 1871;;;3;P;;;;;;;;;;;;;;;;Arthropodes;Insectes;https://inpn.mnhn.fr/espece/cd_nom/239805
Animalia;Arthropoda;Insecta;Hymenoptera;Colletidae;Hylaeinae;;1000049;0;0;239805;ES;Prosopis pulla;Pérez, 1903;Prosopis pulla Pérez, 1903;<i>Prosopis pulla</i> Pérez, 1903;Hylaeus tyrolensis Förster, 1871;;;3;P;;;;;;;;;;;;;;;;Arthropodes;Insectes;https://inpn.mnhn.fr/espece/cd_nom/239805
Animalia;Arthropoda;Insecta;Hymenoptera;Colletidae;Hylaeinae;;239806;208078;884006;239806;ES;Hylaeus variegatus;(Fabricius, 1798);Hylaeus variegatus (Fabricius, 1798);<i>Hylaeus variegatus</i> (Fabricius, 1798);Hylaeus variegatus (Fabricius, 1798);;;3;P;;;;;;;;;;;;;;;;Arthropodes;Insectes;https://inpn.mnhn.fr/espece/cd_nom/239806
Animalia;Arthropoda;Insecta;Hymenoptera;Colletidae;Hylaeinae;;1000101;0;0;239806;ES;Mellinus variegatus;Fabricius, 1798;Mellinus variegatus Fabricius, 1798;<i>Mellinus variegatus</i> Fabricius, 1798;Hylaeus variegatus (Fabricius, 1798);;;3;P;;;;;;;;;;;;;;;;Arthropodes;Insectes;https://inpn.mnhn.fr/espece/cd_nom/239806
Animalia;Arthropoda;Insecta;Hymenoptera;Colletidae;Hylaeinae;;1000102;0;0;239806;SSES;Prosopis variegata integra;Alfken, 1904;Prosopis variegata integra Alfken, 1904;<i>Prosopis variegata integra</i> Alfken, 1904;Hylaeus variegatus (Fabricius, 1798);;;3;P;;;;;;;;;;;;;;;;Arthropodes;Insectes;https://inpn.mnhn.fr/espece/cd_nom/239806
